Job Title,Role,Qualifications,Experience,location,Country,Work Type,Job Description,Salary Range,Benefits
Pediatrician,General Pediatrician,M.Tech,1 to 10 Years,Windhoek,Namibia,Contract,"General Pediatricians provide medical care to infants, children, and adolescents. They diagnose and treat various pediatric conditions, offer preventive care, and educate patients and parents on child health and well-being.",$65K-$96K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Software Engineer,Backend Developer,MCA,3 to 11 Years,Riga,Latvia,Full-Time,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",$60K-$94K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Investment Analyst,Portfolio Manager,BA,3 to 11 Years,Brussels,Belgium,Intern,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",$58K-$95K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Environmental Engineer,Sustainability Specialist,BA,4 to 9 Years,Luxembourg,Luxembourg,Temporary,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",$65K-$102K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
UX/UI Designer,Interaction Designer,B.Tech,3 to 9 Years,Apia,Samoa,Contract,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,$63K-$84K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
UI Developer,UX/UI Designer,M.Tech,5 to 8 Years,City of Baghdad,Iraq,Full-Time,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,$57K-$98K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Procurement Manager,Procurement Analyst,M.Com,5 to 12 Years,Bangkok,Thailand,Part-Time,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.",$65K-$108K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Structural Engineer,Bridge Engineer,B.Com,5 to 8 Years,San Salvador,El Salvador,Part-Time,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.",$63K-$110K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Litigation Attorney,Corporate Litigator,BCA,0 to 9 Years,Thimphu,Bhutan,Temporary,"Corporate Litigators specialize in corporate law. They handle legal matters related to businesses, such as mergers, acquisitions, contracts, and disputes, to protect corporate interests.",$64K-$101K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Landscape Architect,Residential Landscape Designer,M.Tech,2 to 15 Years,Porto-Novo,Benin,Temporary,Create aesthetically pleasing and functional landscape designs for residential properties.,$61K-$94K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Research Scientist,Research Analyst,BA,2 to 15 Years,Chisinau,Moldova,Temporary,"Research Analysts conduct research, collect data, and analyze information to support business decision-making. They generate reports and recommendations based on their findings to aid in strategic planning.",$60K-$98K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Administrative Assistant,Executive Assistant,BCA,3 to 10 Years,Ulaanbaatar,Mongolia,Part-Time,"Support high-level executives by managing schedules, coordinating meetings, and handling various administrative tasks.",$60K-$128K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Systems Administrator,Database Administrator,PhD,5 to 8 Years,Kingstown,St. Vincent and the Grenadines,Full-Time,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.",$64K-$111K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Civil Engineer,Water Resources Engineer,BCA,3 to 13 Years,City of Victoria,"Hong Kong SAR, China",Part-Time,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.",$65K-$129K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Front-End Engineer,JavaScript Developer,B.Com,1 to 14 Years,Riga,Latvia,Intern,"JavaScript Developers write code to create interactive and dynamic web applications. They use JavaScript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design.",$60K-$125K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Dental Hygienist,Dental Public Health Hygienist,B.Com,2 to 9 Years,Paramaribo,Suriname,Contract,A Dental Public Health Hygienist works to improve oral health at the community level. They develop and implement public health programs and educate individuals on oral hygiene.,$63K-$87K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Product Manager,Agile Product Owner,BBA,0 to 12 Years,San Salvador,El Salvador,Temporary,"Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",$56K-$118K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Copywriter,Technical Copywriter,M.Com,3 to 13 Years,Nassau,"Bahamas, The",Contract,"Technical Copywriters create content that explains complex technical concepts in a clear and accessible manner. They often write user manuals, product documentation, and technical guides to assist users and customers.",$60K-$93K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
SEO Analyst,SEO Content Strategist,BCA,5 to 8 Years,Cairo,Egypt,Full-Time,"As an SEO Content Strategist, your primary responsibility is to develop and execute content strategies that enhance our online presence. You will conduct keyword research, optimize website content, and collaborate with the marketing team to improve search engine rankings and drive organic traffic. Your role involves staying updated with SEO trends and implementing best practices to boost our websites visibility and engagement.",$58K-$101K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Electrical Engineer,Electronics Hardware Engineer,BCA,4 to 9 Years,Amman,Jordan,Temporary,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.",$64K-$120K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Systems Administrator,Database Administrator,BA,2 to 10 Years,Bandar Seri Begawan,Brunei,Intern,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.",$61K-$96K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Executive Assistant,Project Coordinator,M.Tech,3 to 11 Years,Nairobi,Kenya,Contract,"Project Coordinators assist in planning, executing, and monitoring projects. They facilitate communication among team members, track project progress, and ensure tasks are completed on time.",$56K-$92K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Data Entry Clerk,Record Keeper,BA,0 to 13 Years,Gibraltar,Gibraltar,Contract,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.",$57K-$96K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Marketing Coordinator,Digital Marketing Coordinator,B.Com,0 to 13 Years,Apia,American Samoa,Part-Time,"Digital Marketing Coordinators manage online marketing efforts, including social media, email marketing, and SEO, to drive digital engagement and growth.",$63K-$98K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Account Manager,Client Relationship Manager,MCA,2 to 15 Years,Santo Domingo,Dominican Republic,Part-Time,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",$57K-$115K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
UX/UI Designer,User Interface Designer,M.Com,0 to 8 Years,Bishkek,Kyrgyz Republic,Contract,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",$55K-$82K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
